KS1295[%]	6082[%]	2024[%]	bat-box[%]	3003[%]	4032[%]	Al	Si	Cu	Ni	Mg	Mn	Fe	Cr	Ti	Zr	V	Zn	Vf_FCC_A1	Vf_DIAMOND_A4	Vf_AL15SI2M4	Vf_AL3X	Vf_AL6MN	Vf_MG2ZN3	Vf_AL3NI2	Vf_AL3NI_D011	Vf_AL7CU4NI	Vf_AL2CU_C16	Vf_Q_ALCUMGSI	Vf_AL7CU2FE	Vf_MG2SI_C1	Vf_AL9FE2SI2	Vf_AL18FE2MG7SI10	eut. frac.[%]	eut. T (C)	T_FCC_A1	T_DIAMOND_A4	T_AL15SI2M4	T_AL3X	T_AL6MN	T_MG2ZN3	T_AL3NI2	T_AL3NI_D011	T_AL7CU4NI	T_AL2CU_C16	T_Q_ALCUMGSI	T_AL7CU2FE	T_MG2SI_C1	T_AL9FE2SI2	T_AL18FE2MG7SI10	T(liqu)	T(sol)	delta_T	delta_T_FCC	delta_T_Al15Si2M4	delta_T_Si	CSC	YS(MPa)	hardness(Vickers)	CTEvol(1/K)(20.0-300.0C)	Density(g/cm3)	Volume(m3/mol)	El.conductivity(S/m)	El. resistivity(ohm m)	heat capacity(J/(mol K))	Therm.conductivity(W/(mK))	Therm. diffusivity(m2/s)	Therm.resistivity(mK/W)	Linear thermal expansion (1/K)(20.0-300.0C)	Technical thermal expansion (1/K)(20.0-300.0C)
0.0548	10.73933	28.07063	4.1546	22.25056	34.73156	91.08085	4.7043	1.65506	0.46235	0.78512	0.58524	0.50451	0.05501	0.05293	0.02929	0.02929	0.19448	87.61752	3.54412	2.23412	nan	2.01689	nan	0.36748	1.3356	0.75772	0.45877	0.3794	0.00457	0.47943	0.60013	0.35285	60.91867	593.99036	620.45946	501.55311	660.07963	395.96355	466.73645	nan	525.66271	385.75541	347.64321	271.10057	421.0111	553.48058	507.51833	455.89495	504.16765	662.72348	537.40698	125.3165	71.96761	125.3165	19.3566	0.50784	56.85564	17.39243	7.72E-05	2.69681	1.02E-05	1.27E+07	7.92E-08	27.63149	173.93253	6.43E-05	0.00577	2.57E-05	2.35E-05
0.0552	11.49865	28.48983	4.31772	20.97661	34.66336	91.06571	4.69962	1.67282	0.46179	0.79603	0.57826	0.49927	0.05635	0.05393	0.02892	0.02892	0.19652	87.59882	3.49884	2.24553	nan	2.01686	nan	0.36452	1.29502	0.77901	0.42594	0.3821	0.00468	0.48067	0.58435	0.3484	60.79627	593.51554	620.49608	505.57498	660.60903	395.19132	467.13523	nan	526.79036	384.23627	349.33465	272.11662	424.42048	553.47509	510.05215	454.76452	505.25004	663.04938	537.19028	125.8591	73.07361	125.8591	19.3484	0.50172	56.97456	17.42882	7.72E-05	2.6969	1.02E-05	1.27E+07	7.92E-08	27.63137	173.8531	6.43E-05	0.00577	2.57E-05	2.35E-05
0.0556	12.25797	28.90903	4.48083	19.70266	34.59516	91.05056	4.69495	1.69059	0.46122	0.80695	0.57128	0.49404	0.0577	0.05494	0.02855	0.02855	0.19856	87.58013	3.45355	2.25695	nan	2.01683	nan	0.36156	1.25443	0.8003	0.39311	0.3848	0.00479	0.4819	0.56857	0.34395	60.67386	593.04072	620.5327	509.59685	661.13843	394.41908	467.534	nan	527.91801	382.71713	351.0261	273.13266	427.82986	553.4696	512.58598	453.63409	506.33242	663.37528	536.97358	126.4017	74.17961	126.4017	19.3402	0.4956	57.09348	17.46521	7.72E-05	2.69699	1.02E-05	1.27E+07	7.92E-08	27.63126	173.77367	6.42E-05	0.00577	2.57E-05	2.35E-05
0.056	13.01728	29.32823	4.64395	18.42872	34.52696	91.03542	4.69027	1.70835	0.46066	0.81786	0.5643	0.48881	0.05904	0.05594	0.02819	0.02819	0.2006	87.56143	3.40827	2.26836	nan	2.0168	nan	0.3586	1.21384	0.82159	0.36028	0.3875	0.0049	0.48314	0.55279	0.3395	60.55146	592.56591	620.56932	513.61872	661.66783	393.64685	467.93278	nan	529.04566	381.19799	352.71755	274.1487	431.23924	553.46411	515.1198	452.50365	507.41481	663.70118	536.75688	126.9443	75.28562	126.9443	19.332	0.48948	57.2124	17.50161	7.72E-05	2.69709	1.02E-05	1.27E+07	7.92E-08	27.63114	173.69424	6.42E-05	0.00578	2.57E-05	2.35E-05
0.0564	13.7766	29.74744	4.80706	17.15477	34.45876	91.02028	4.68559	1.72612	0.46009	0.82878	0.55732	0.48358	0.06039	0.05695	0.02782	0.02782	0.20264	87.54274	3.36299	2.27978	nan	2.01677	nan	0.35564	1.17326	0.84288	0.32745	0.3902	0.00501	0.48438	0.53701	0.33505	60.42906	592.09109	620.60594	517.64059	662.19722	392.87462	468.33155	nan	530.17332	379.67885	354.40899	275.16474	434.64862	553.45862	517.65362	451.37322	508.49719	664.02708	536.54018	127.48691	76.39162	127.48691	19.3238	0.48336	57.33131	17.538	7.72E-05	2.69718	1.02E-05	1.27E+07	7.92E-08	27.63103	173.61481	6.42E-05	0.00578	2.57E-05	2.35E-05
0.0568	14.53592	30.16664	4.97018	15.88082	34.39056	91.00513	4.68091	1.74388	0.45953	0.83969	0.55034	0.47835	0.06174	0.05795	0.02745	0.02745	0.20468	87.52404	3.31771	2.29119	nan	2.01674	nan	0.35268	1.13267	0.86418	0.29462	0.3929	0.00512	0.48561	0.52123	0.3306	60.30665	591.61627	620.64256	521.66246	662.72662	392.10239	468.73033	nan	531.30097	378.15971	356.10044	276.18078	438.058	553.45313	520.18744	450.24279	509.57957	664.35299	536.32348	128.02951	77.49763	128.02951	19.3156	0.47724	57.45023	17.57439	7.72E-05	2.69727	1.02E-05	1.27E+07	7.92E-08	27.63091	173.53538	6.41E-05	0.00578	2.57E-05	2.35E-05
0.0572	15.29523	30.58584	5.13329	14.60687	34.32236	90.98999	4.67624	1.76165	0.45896	0.85061	0.54336	0.47312	0.06308	0.05896	0.02708	0.02708	0.20672	87.50535	3.27243	2.30261	nan	2.01671	nan	0.34972	1.09208	0.88547	0.26179	0.3956	0.00523	0.48685	0.50545	0.32615	60.18425	591.14145	620.67918	525.68433	663.25602	391.33016	469.1291	nan	532.42862	376.64057	357.79189	277.19682	441.46738	553.44764	522.72127	449.11235	510.66196	664.67889	536.10678	128.57211	78.60363	128.57211	19.3074	0.47112	57.56915	17.61078	7.72E-05	2.69736	1.02E-05	1.27E+07	7.92E-08	27.6308	173.45595	6.41E-05	0.00578	2.57E-05	2.35E-05
0.0576	16.05455	31.00504	5.29641	13.33292	34.25416	90.97485	4.67156	1.77942	0.45839	0.86152	0.53638	0.46789	0.06443	0.05997	0.02671	0.02671	0.20876	87.48665	3.22715	2.31402	nan	2.01668	nan	0.34676	1.0515	0.90676	0.22896	0.3983	0.00534	0.48808	0.48967	0.3217	60.06185	590.66663	620.7158	529.7062	663.78542	390.55793	469.52787	nan	533.55627	375.12143	359.48333	278.21286	444.87676	553.44216	525.25509	447.98192	511.74434	665.00479	535.89008	129.11471	79.70964	129.11471	19.2992	0.465	57.68807	17.64717	7.72E-05	2.69745	1.02E-05	1.27E+07	7.92E-08	27.63069	173.37653	6.41E-05	0.00578	2.57E-05	2.35E-05
0.058	16.81387	31.42424	5.45952	12.05898	34.18596	90.95971	4.66688	1.79718	0.45783	0.87243	0.5294	0.46265	0.06577	0.06097	0.02634	0.02634	0.2108	87.46796	3.18187	2.32544	nan	2.01665	nan	0.3438	1.01091	0.92805	0.19613	0.401	0.00545	0.48932	0.47389	0.31725	59.93944	590.19181	620.75242	533.72807	664.31482	389.78569	469.92665	nan	534.68392	373.60229	361.17478	279.2289	448.28614	553.43667	527.78891	446.85149	512.82673	665.33069	535.67337	129.65731	80.81564	129.65731	19.291	0.45888	57.80698	17.68356	7.72E-05	2.69754	1.02E-05	1.27E+07	7.92E-08	27.63057	173.2971	6.41E-05	0.00578	2.57E-05	2.35E-05
0.0584	17.57319	31.84344	5.62264	10.78503	34.11776	90.94456	4.66221	1.81495	0.45726	0.88335	0.52242	0.45742	0.06712	0.06198	0.02597	0.02597	0.21284	87.44927	3.13659	2.33685	nan	2.01662	nan	0.34084	0.97032	0.94934	0.1633	0.4037	0.00556	0.49056	0.45811	0.3128	59.81704	589.71699	620.78904	537.74994	664.84422	389.01346	470.32542	nan	535.81157	372.08315	362.86623	280.24494	451.69552	553.43118	530.32273	445.72105	513.90911	665.65659	535.45667	130.19992	81.92165	130.19992	19.2828	0.45276	57.9259	17.71996	7.72E-05	2.69763	1.02E-05	1.27E+07	7.92E-08	27.63046	173.21767	6.40E-05	0.00578	2.57E-05	2.35E-05
0.0588	18.3325	32.26265	5.78575	9.51108	34.04956	90.92942	4.65753	1.83271	0.4567	0.89426	0.51544	0.45219	0.06846	0.06298	0.02561	0.02561	0.21488	87.43057	3.09131	2.34826	nan	2.01659	nan	0.33788	0.92974	0.97064	0.13047	0.4064	0.00567	0.49179	0.44233	0.30835	59.69464	589.24217	620.82566	541.7718	665.37362	388.24123	470.7242	nan	536.93922	370.56401	364.55767	281.26099	455.1049	553.42569	532.85655	444.59062	514.9915	665.98249	535.23997	130.74252	83.02765	130.74252	19.2746	0.44664	58.04482	17.75635	7.72E-05	2.69773	1.02E-05	1.26E+07	7.92E-08	27.63034	173.13824	6.40E-05	0.00578	2.57E-05	2.35E-05
0.0592	19.09182	32.68185	5.94887	8.23713	33.98136	90.91428	4.65285	1.85048	0.45613	0.90518	0.50846	0.44696	0.06981	0.06399	0.02524	0.02524	0.21692	87.41188	3.04603	2.35968	nan	2.01656	nan	0.33492	0.88915	0.99193	0.09764	0.4091	0.00578	0.49303	0.42655	0.3039	59.57223	588.76735	620.86228	545.79367	665.90302	387.469	471.12297	nan	538.06687	369.04487	366.24912	282.27703	458.51429	553.4202	535.39038	443.46019	516.07388	666.30839	535.02327	131.28512	84.13365	131.28512	19.2664	0.44052	58.16374	17.79274	7.73E-05	2.69782	1.02E-05	1.26E+07	7.92E-08	27.63023	173.05881	6.40E-05	0.00578	2.57E-05	2.35E-05
0.0596	19.85114	33.10105	6.11198	6.96318	33.91316	90.89913	4.64817	1.86824	0.45557	0.91609	0.50148	0.44173	0.07116	0.06499	0.02487	0.02487	0.21896	87.39318	3.00075	2.37109	nan	2.01653	nan	0.33196	0.84856	1.01322	0.06481	0.4118	0.00589	0.49426	0.41077	0.29945	59.44983	588.29253	620.8989	549.81554	666.43242	386.69677	471.52174	nan	539.19453	367.52573	367.94057	283.29307	461.92367	553.41471	537.9242	442.32975	517.15627	666.63429	534.80657	131.82772	85.23966	131.82772	19.2582	0.4344	58.28265	17.82913	7.73E-05	2.69791	1.02E-05	1.26E+07	7.91E-08	27.63011	172.97938	6.40E-05	0.00578	2.58E-05	2.35E-05
0.06	20.61042	33.51969	6.27512	5.69028	33.84448	90.88408	4.64344	1.88598	0.45499	0.927	0.4945	0.4365	0.0725	0.066	0.0245	0.0245	0.221	87.37461	2.95545	2.3825	nan	2.0165	nan	0.329	0.80798	1.03448	0.032	0.4145	0.006	0.4955	0.395	0.295	59.32706	587.81849	620.93596	553.83127	666.96113	385.92498	471.92052	nan	540.32155	366.00881	369.63337	284.30785	465.33007	553.40923	540.45654	441.19797	518.23691	666.95979	534.59017	132.36961	86.34503	132.36961	19.24994	0.42829	58.40153	17.86551	7.73E-05	2.698	1.02E-05	1.26E+07	7.91E-08	27.63	172.90028	6.39E-05	0.00578	2.58E-05	2.35E-05
0.0604	21.31314	33.01033	6.4746	6.16365	32.97788	91.02302	4.54527	1.85557	0.44378	0.9209	0.50188	0.43498	0.07273	0.06555	0.02458	0.02458	0.2187	87.55357	2.87861	2.37841	nan	2.01647	nan	0.33612	0.78284	1.00941	0.03138	0.41025	0.00642	0.49012	0.39438	0.28859	58.58855	588.64086	621.70235	547.61565	666.3473	385.8968	472.31929	nan	540.40577	368.19046	373.58659	283.23218	463.78636	553.40374	540.52307	437.81929	516.41953	666.60238	534.87917	131.72321	86.39043	131.72321	19.14574	0.43205	58.45101	17.88063	7.74E-05	2.69765	1.02E-05	1.27E+07	7.89E-08	27.634	173.36188	6.41E-05	0.00577	2.58E-05	2.35E-05
0.0608	22.01587	32.50097	6.67408	6.63701	32.11127	91.16196	4.4471	1.82517	0.43256	0.9148	0.50926	0.43347	0.07296	0.0651	0.02467	0.02467	0.21641	87.73254	2.80177	2.37431	nan	2.01644	nan	0.34324	0.75769	0.98434	0.03076	0.406	0.00684	0.48474	0.39377	0.28218	57.85005	589.46324	622.46874	541.40002	665.73347	385.86861	472.71807	nan	540.48999	370.37211	377.5398	282.15651	462.24264	553.39825	540.5896	434.4406	514.60215	666.24498	535.16818	131.07681	86.43583	131.07681	19.04154	0.43582	58.5005	17.89576	7.75E-05	2.6973	1.02E-05	1.27E+07	7.87E-08	27.638	173.82348	6.42E-05	0.00576	2.58E-05	2.36E-05
0.0612	22.71859	31.99161	6.87356	7.11037	31.24467	91.30089	4.34892	1.79476	0.42135	0.90871	0.51664	0.43195	0.07318	0.06466	0.02475	0.02475	0.21411	87.9115	2.72492	2.37022	nan	2.01641	nan	0.35036	0.73254	0.95927	0.03014	0.40175	0.00726	0.47936	0.39315	0.27577	57.11155	590.28561	623.23513	535.1844	665.11963	385.84043	473.11684	nan	540.57421	372.55377	381.49302	281.08083	460.69893	553.39276	540.65613	431.06192	512.78477	665.88758	535.45718	130.4304	86.48123	130.4304	18.93734	0.43958	58.54998	17.91088	7.76E-05	2.69694	1.02E-05	1.27E+07	7.85E-08	27.642	174.28508	6.44E-05	0.00574	2.59E-05	2.36E-05
0.0616	23.42131	31.48225	7.07304	7.58373	30.37807	91.43983	4.25075	1.76435	0.41013	0.90261	0.52402	0.43044	0.07341	0.06421	0.02484	0.02484	0.21181	88.09047	2.64808	2.36613	nan	2.01638	nan	0.35748	0.7074	0.9342	0.02952	0.3975	0.00768	0.47398	0.39254	0.26936	56.37305	591.10798	624.00152	528.96877	664.5058	385.81225	473.51561	nan	540.65843	374.73542	385.44624	280.00516	459.15521	553.38727	540.72266	427.68323	510.96739	665.53018	535.74618	129.784	86.52663	129.784	18.83314	0.44335	58.59947	17.92601	7.77E-05	2.69659	1.02E-05	1.28E+07	7.83E-08	27.646	174.74668	6.45E-05	0.00573	2.59E-05	2.36E-05
0.062	24.12404	30.97288	7.27252	8.05709	29.51146	91.57877	4.15258	1.73394	0.39891	0.89652	0.5314	0.42892	0.07364	0.06376	0.02492	0.02492	0.20952	88.26943	2.57123	2.36204	nan	2.01635	nan	0.3646	0.68225	0.90913	0.0289	0.39325	0.0081	0.4686	0.39192	0.26295	55.63454	591.93035	624.76792	522.75315	663.89197	385.78406	473.91439	nan	540.74265	376.91707	389.39945	278.92948	457.61149	553.38178	540.78919	424.30455	509.15001	665.17278	536.03518	129.1376	86.57203	129.1376	18.72894	0.44711	58.64895	17.94113	7.78E-05	2.69624	1.02E-05	1.28E+07	7.81E-08	27.65	175.20829	6.47E-05	0.00571	2.59E-05	2.37E-05
0.0624	24.82676	30.46352	7.472	8.53046	28.64486	91.7177	4.05441	1.70353	0.3877	0.89042	0.53878	0.4274	0.07387	0.06331	0.025	0.025	0.20722	88.4484	2.49439	2.35795	nan	2.01632	nan	0.37172	0.6571	0.88406	0.02828	0.389	0.00852	0.46322	0.3913	0.25654	54.89604	592.75272	625.53431	516.53752	663.27814	385.75588	474.31316	nan	540.82687	379.09873	393.35267	277.85381	456.06778	553.37629	540.85572	420.92586	507.33263	664.81538	536.32418	128.4912	86.61743	128.4912	18.62473	0.45087	58.69843	17.95625	7.79E-05	2.69589	1.02E-05	1.28E+07	7.79E-08	27.654	175.66989	6.48E-05	0.0057	2.60E-05	2.37E-05
0.0628	25.52948	29.95416	7.67149	9.00382	27.77826	91.85664	3.95623	1.67312	0.37648	0.88432	0.54616	0.42589	0.0741	0.06286	0.02509	0.02509	0.20493	88.62736	2.41754	2.35385	nan	2.01629	nan	0.37884	0.63196	0.85899	0.02766	0.38475	0.00894	0.45784	0.39069	0.25013	54.15754	593.57509	626.3007	510.3219	662.6643	385.72769	474.71194	nan	540.91109	381.28038	397.30588	276.77813	454.52406	553.37081	540.92225	417.54717	505.51525	664.45798	536.61318	127.84479	86.66283	127.84479	18.52053	0.45464	58.74792	17.97138	7.80E-05	2.69554	1.02E-05	1.29E+07	7.77E-08	27.658	176.13149	6.50E-05	0.00569	2.60E-05	2.37E-05
0.0632	26.2322	29.4448	7.87097	9.47718	26.91165	91.99558	3.85806	1.64272	0.36526	0.87823	0.55354	0.42437	0.07432	0.06242	0.02517	0.02517	0.20263	88.80633	2.3407	2.34976	nan	2.01626	nan	0.38596	0.60681	0.83392	0.02704	0.3805	0.00936	0.45246	0.39007	0.24372	53.41903	594.39746	627.06709	504.10627	662.05047	385.69951	475.11071	nan	540.99531	383.46203	401.2591	275.70246	452.98034	553.36532	540.98878	414.16849	503.69786	664.10057	536.90218	127.19839	86.70823	127.19839	18.41633	0.4584	58.7974	17.9865	7.81E-05	2.69518	1.02E-05	1.29E+07	7.75E-08	27.662	176.59309	6.51E-05	0.00567	2.60E-05	2.38E-05
0.0636	26.93493	28.93544	8.07045	9.95054	26.04505	92.13451	3.75989	1.61231	0.35405	0.87213	0.56092	0.42286	0.07455	0.06197	0.02526	0.02526	0.20033	88.98529	2.26386	2.34567	nan	2.01623	nan	0.39308	0.58166	0.80885	0.02642	0.37625	0.00978	0.44708	0.38946	0.23731	52.68053	595.21984	627.83348	497.89065	661.43664	385.67133	475.50949	nan	541.07953	385.64368	405.21231	274.62679	451.43663	553.35983	541.05531	410.7898	501.88048	663.74317	537.19118	126.55199	86.75363	126.55199	18.31213	0.46217	58.84689	18.00163	7.82E-05	2.69483	1.02E-05	1.30E+07	7.73E-08	27.666	177.05469	6.53E-05	0.00566	2.61E-05	2.38E-05
0.064	27.63765	28.42607	8.26993	10.4239	25.17845	92.27345	3.66172	1.5819	0.34283	0.86604	0.5683	0.42134	0.07478	0.06152	0.02534	0.02534	0.19804	89.16425	2.18701	2.34158	nan	2.0162	nan	0.4002	0.55652	0.78378	0.0258	0.372	0.0102	0.4417	0.38884	0.2309	51.94203	596.04221	628.59987	491.67502	660.82281	385.64314	475.90826	nan	541.16375	387.82534	409.16553	273.55111	449.89291	553.35434	541.12184	407.41112	500.0631	663.38577	537.48018	125.90559	86.79903	125.90559	18.20793	0.46593	58.89637	18.01675	7.83E-05	2.69448	1.02E-05	1.30E+07	7.71E-08	27.67	177.5163	6.55E-05	0.00564	2.61E-05	2.38E-05
0.0644	28.34037	27.91671	8.46941	10.89726	24.31184	92.41239	3.56354	1.55149	0.33162	0.85994	0.57568	0.41982	0.07501	0.06107	0.02542	0.02542	0.19574	89.34322	2.11017	2.33749	nan	2.01617	nan	0.40732	0.53137	0.75871	0.02518	0.36775	0.01062	0.43632	0.38822	0.22449	51.20352	596.86458	629.36626	485.4594	660.20897	385.61496	476.30703	nan	541.24797	390.00699	413.11875	272.47544	448.3492	553.34885	541.18837	404.03243	498.24572	663.02837	537.76919	125.25918	86.84443	125.25918	18.10373	0.4697	58.94586	18.03187	7.84E-05	2.69413	1.02E-05	1.30E+07	7.69E-08	27.674	177.9779	6.56E-05	0.00563	2.61E-05	2.38E-05
0.0648	29.0431	27.40735	8.66889	11.37063	23.44524	92.55132	3.46537	1.52108	0.3204	0.85384	0.58306	0.41831	0.07524	0.06062	0.02551	0.02551	0.19345	89.52218	2.03332	2.33339	nan	2.01614	nan	0.41444	0.50622	0.73364	0.02456	0.3635	0.01104	0.43094	0.38761	0.21808	50.46502	597.68695	630.13265	479.24377	659.59514	385.58677	476.70581	nan	541.33219	392.18864	417.07196	271.39976	446.80548	553.34336	541.2549	400.65375	496.42834	662.67097	538.05819	124.61278	86.88983	124.61278	17.99953	0.47346	58.99534	18.047	7.85E-05	2.69378	1.02E-05	1.31E+07	7.67E-08	27.678	178.4395	6.58E-05	0.00561	2.62E-05	2.39E-05
0.0652	29.74582	26.89799	8.86837	11.84399	22.57863	92.69026	3.3672	1.49068	0.30918	0.84775	0.59044	0.41679	0.07546	0.06018	0.02559	0.02559	0.19115	89.70115	1.95648	2.3293	nan	2.01611	nan	0.42156	0.48108	0.70857	0.02394	0.35925	0.01146	0.42556	0.38699	0.21167	49.72652	598.50932	630.89904	473.02815	658.98131	385.55859	477.10458	nan	541.41641	394.37029	421.02518	270.32409	445.26176	553.33788	541.32143	397.27506	494.61096	662.31357	538.34719	123.96638	86.93523	123.96638	17.89533	0.47723	59.04482	18.06212	7.86E-05	2.69342	1.02E-05	1.31E+07	7.65E-08	27.682	178.9011	6.59E-05	0.0056	2.62E-05	2.39E-05
0.0656	30.44854	26.38863	9.06785	12.31735	21.71203	92.8292	3.26903	1.46027	0.29797	0.84165	0.59782	0.41528	0.07569	0.05973	0.02568	0.02568	0.18885	89.88011	1.87963	2.32521	nan	2.01608	nan	0.42868	0.45593	0.6835	0.02332	0.355	0.01188	0.42018	0.38638	0.20526	48.98802	599.33169	631.66543	466.81252	658.36748	385.53041	477.50336	nan	541.50064	396.55195	424.97839	269.24841	443.71805	553.33239	541.38796	393.89638	492.79358	661.95617	538.63619	123.31998	86.98063	123.31998	17.79113	0.48099	59.09431	18.07725	7.87E-05	2.69307	1.02E-05	1.31E+07	7.63E-08	27.686	179.3627	6.61E-05	0.00559	2.62E-05	2.39E-05
0.066	31.15126	25.87926	9.26733	12.79071	20.84543	92.96813	3.17086	1.42986	0.28675	0.83556	0.6052	0.41376	0.07592	0.05928	0.02576	0.02576	0.18656	90.05908	1.80279	2.32112	nan	2.01605	nan	0.4358	0.43078	0.65843	0.0227	0.35075	0.0123	0.4148	0.38576	0.19885	48.24951	600.15406	632.43183	460.5969	657.75364	385.50222	477.90213	nan	541.58486	398.7336	428.93161	268.17274	442.17433	553.3269	541.45449	390.51769	490.9762	661.59876	538.92519	122.67357	87.02603	122.67357	17.68693	0.48476	59.14379	18.09237	7.88E-05	2.69272	1.02E-05	1.32E+07	7.61E-08	27.69	179.8243	6.62E-05	0.00557	2.63E-05	2.40E-05
0.0664	31.85399	25.3699	9.46681	13.26407	19.97882	93.10707	3.07268	1.39945	0.27554	0.82946	0.61258	0.41224	0.07615	0.05883	0.02584	0.02584	0.18426	90.23804	1.72594	2.31703	nan	2.01602	nan	0.44292	0.40564	0.63336	0.02208	0.3465	0.01272	0.40942	0.38514	0.19244	47.51101	600.97643	633.19822	454.38127	657.13981	385.47404	478.3009	nan	541.66908	400.91525	432.88482	267.09707	440.63061	553.32141	541.52102	387.139	489.15882	661.24136	539.21419	122.02717	87.07143	122.02717	17.58273	0.48852	59.19328	18.10749	7.89E-05	2.69237	1.02E-05	1.32E+07	7.59E-08	27.694	180.28591	6.64E-05	0.00556	2.63E-05	2.40E-05
0.0668	32.55671	24.86054	9.66629	13.73744	19.11222	93.246	2.97451	1.36904	0.26432	0.82336	0.61996	0.41073	0.07638	0.05838	0.02593	0.02593	0.18197	90.41701	1.6491	2.31293	nan	2.01599	nan	0.45004	0.38049	0.60829	0.02146	0.34225	0.01314	0.40404	0.38453	0.18603	46.77251	601.79881	633.96461	448.16565	656.52598	385.44585	478.69968	nan	541.7533	403.09691	436.83804	266.02139	439.0869	553.31592	541.58755	383.76032	487.34144	660.88396	539.50319	121.38077	87.11683	121.38077	17.47853	0.49228	59.24276	18.12262	7.90E-05	2.69202	1.02E-05	1.32E+07	7.57E-08	27.698	180.74751	6.65E-05	0.00554	2.63E-05	2.40E-05
0.0672	33.25943	24.35118	9.86577	14.2108	18.24562	93.38494	2.87634	1.33864	0.2531	0.81727	0.62734	0.40921	0.0766	0.05794	0.02601	0.02601	0.17967	90.59597	1.57226	2.30884	nan	2.01596	nan	0.45716	0.35534	0.58322	0.02084	0.338	0.01356	0.39866	0.38391	0.17962	46.034	602.62118	634.731	441.95002	655.91215	385.41767	479.09845	nan	541.83752	405.27856	440.79126	264.94572	437.54318	553.31043	541.65408	380.38163	485.52406	660.52656	539.79219	120.73437	87.16223	120.73437	17.37433	0.49605	59.29225	18.13774	7.91E-05	2.69166	1.02E-05	1.33E+07	7.56E-08	27.702	181.20911	6.67E-05	0.00553	2.64E-05	2.41E-05
0.0676	33.96216	23.84182	10.06525	14.68416	17.37901	93.52388	2.77817	1.30823	0.24189	0.81117	0.63472	0.40769	0.07683	0.05749	0.0261	0.0261	0.17737	90.77494	1.49541	2.30475	nan	2.01593	nan	0.46428	0.3302	0.55815	0.02022	0.33375	0.01398	0.39328	0.3833	0.17321	45.2955	603.44355	635.49739	435.7344	655.29832	385.38948	479.49723	nan	541.92174	407.46021	444.74447	263.87004	435.99947	553.30494	541.72061	377.00295	483.70668	660.16916	540.0812	120.08796	87.20763	120.08796	17.27013	0.49981	59.34173	18.15287	7.92E-05	2.69131	1.02E-05	1.33E+07	7.54E-08	27.706	181.67071	6.68E-05	0.00552	2.64E-05	2.41E-05
0.068	34.66488	23.33245	10.26474	15.15752	16.51241	93.66281	2.67999	1.27782	0.23067	0.80508	0.64211	0.40618	0.07706	0.05704	0.02618	0.02618	0.17508	90.9539	1.41857	2.30066	nan	2.0159	nan	0.4714	0.30505	0.53308	0.0196	0.3295	0.0144	0.3879	0.38268	0.1668	44.557	604.26592	636.26378	429.51877	654.68448	385.3613	479.896	nan	542.00596	409.64186	448.69769	262.79437	434.45575	553.29946	541.78715	373.62426	481.8893	659.81176	540.3702	119.44156	87.25303	119.44156	17.16593	0.50358	59.39121	18.16799	7.93E-05	2.69096	1.02E-05	1.33E+07	7.52E-08	27.71	182.13231	6.70E-05	0.0055	2.64E-05	2.41E-05
0.0684	35.3676	22.82309	10.46422	15.63088	15.64581	93.80175	2.58182	1.24741	0.21946	0.79898	0.64949	0.40466	0.07729	0.05659	0.02626	0.02626	0.17278	91.13287	1.34172	2.29657	nan	2.01587	nan	0.47852	0.2799	0.50801	0.01898	0.32525	0.01482	0.38252	0.38206	0.16039	43.81849	605.08829	637.03017	423.30315	654.07065	385.33312	480.29478	nan	542.09018	411.82352	452.6509	261.71869	432.91203	553.29397	541.85368	370.24558	480.07192	659.45436	540.6592	118.79516	87.29843	118.79516	17.06173	0.50734	59.4407	18.18311	7.94E-05	2.69061	1.02E-05	1.34E+07	7.50E-08	27.714	182.59392	6.71E-05	0.00549	2.65E-05	2.42E-05
0.0688	36.07032	22.31373	10.6637	16.10425	14.7792	93.94069	2.48365	1.217	0.20824	0.79288	0.65687	0.40315	0.07752	0.05614	0.02635	0.02635	0.17049	91.31183	1.26488	2.29247	nan	2.01584	nan	0.48564	0.25476	0.48294	0.01836	0.321	0.01524	0.37714	0.38145	0.15398	43.07999	605.91066	637.79656	417.08752	653.45682	385.30493	480.69355	nan	542.1744	414.00517	456.60412	260.64302	431.36832	553.28848	541.92021	366.86689	478.25454	659.09695	540.9482	118.14876	87.34383	118.14876	16.95753	0.51111	59.49018	18.19824	7.95E-05	2.69026	1.02E-05	1.34E+07	7.48E-08	27.718	183.05552	6.73E-05	0.00547	2.65E-05	2.42E-05
0.0692	36.77305	21.80437	10.86318	16.57761	13.9126	94.07962	2.38548	1.18659	0.19702	0.78679	0.66425	0.40163	0.07774	0.0557	0.02643	0.02643	0.16819	91.4908	1.18803	2.28838	nan	2.01581	nan	0.49276	0.22961	0.45787	0.01774	0.31675	0.01566	0.37176	0.38083	0.14757	42.34149	606.73303	638.56295	410.8719	652.84299	385.27675	481.09232	nan	542.25862	416.18682	460.55734	259.56735	429.8246	553.28299	541.98674	363.48821	476.43716	658.73955	541.2372	117.50235	87.38923	117.50235	16.85333	0.51487	59.53967	18.21336	7.96E-05	2.6899	1.02E-05	1.34E+07	7.46E-08	27.722	183.51712	6.74E-05	0.00546	2.65E-05	2.42E-05
